date,canton_name,total_trips,dataset,train_trips,road_trips,highway_trips,commuter_trips,non_commuter_trips
2019-01-13,Appenzell-Ausserrhoden,99473,2019,9939,80804,8740,8563,90920
2019-01-13,Nidwalden,116487,2019,7891,64022,44587,8868,107633
2019-01-13,Zurich,2174440,2019,279469,1495723,399257,172619,2001831
2019-01-13,Appenzell-Innerrhoden,23156,2019,1808,20096,1261,1949,21217
2019-01-13,Neuchatel,235655,2019,20966,178096,36603,20341,215325
2019-01-13,Bern,1629786,2019,203575,1118176,308055,130209,1499598
2019-01-13,Graubunden,396234,2019,55846,257267,83142,34111,362146
2019-01-13,Sankt-Gallen,1008861,2019,118426,589127,301330,76775,932107
2019-01-13,Waadt,1291832,2019,124835,814502,352512,108712,1183138
2019-01-13,Wallis,492048,2019,63964,326135,101973,44080,447992
2019-01-14,Solothurn,1139809,2019,220057,636395,283370,308899,830923
2019-01-14,Basel-Landschaft,1016870,2019,99842,714292,202746,297215,719665
2019-01-14,Schwyz,547305,2019,73076,326287,147953,140857,406459
2019-01-14,Aargau,2060305,2019,293768,1297175,469374,588134,1472184
2019-01-14,Ticino,808852,2019,31019,659918,117924,221576,587285
2019-01-14,Schaffhausen,217706,2019,26400,185491,5827,58228,159491
2019-01-14,Uri,94110,2019,11015,50173,32931,19448,74671
2019-01-14,Freiburg,844661,2019,76490,615666,152516,215484,629188
2019-01-14,Luzern,1148900,2019,99602,794125,255187,321575,827339
2019-01-14,Geneve,1517822,2019,83537,1322983,111312,483611,1034222
2019-01-14,Zug,551250,2019,79975,316130,155156,177796,373465
2019-01-14,Jura,158794,2019,13782,138841,6182,43265,115540
2019-01-14,Obwalden,84516,2019,6826,68239,9465,21464,63066
2019-01-14,Thurgau,777164,2019,89767,549123,138284,204757,572418
2019-01-14,Glarus,140558,2019,28323,58467,53780,31993,108578
2019-01-14,Basel-Stadt,851979,2019,86154,653267,112566,273855,578133
2019-01-14,Appenzell-Ausserrhoden,162681,2019,15966,136856,9869,43286,119407
2019-01-14,Nidwalden,170691,2019,10868,97835,61998,44660,126041
2019-01-14,Zurich,4237259,2019,656584,3051071,529614,1302790,2934480
2019-01-14,Appenzell-Innerrhoden,30390,2019,2138,27245,1017,7027,23373
2019-01-14,Neuchatel,460645,2019,40669,358852,61134,132212,328444
2019-01-14,Bern,2938941,2019,385627,2110737,442597,806384,2132576
2019-01-14,Graubunden,428247,2019,50621,310665,66982,98466,329804
2019-01-14,Sankt-Gallen,1578728,2019,177170,1047897,353683,415590,1163161
